,LineNumber,Accel_X,Accel_Y,Accel_Z,Velocity,RealTime,Label
0,34,-0.22,0.14,-0.27,0.0,2022-03-04 11:25:51.096,0
1,54,-0.17,-0.1,-0.28,0.0,2022-03-04 11:25:51.194,0
2,74,-0.21,0.09,-0.32,0.0,2022-03-04 11:25:51.294,0
3,94,-0.2,0.09,-0.41,0.0,2022-03-04 11:25:51.393,0
4,114,-0.23,0.08,-0.23,0.0,2022-03-04 11:25:51.492,0
5,134,-0.22,0.11,-0.29,0.0,2022-03-04 11:25:51.591,0
6,156,-0.23,0.11,-0.21,0.0,2022-03-04 11:25:51.699,0
7,178,-0.22,0.06,-0.33,0.0,2022-03-04 11:25:51.790,0
8,200,-0.24,0.06,-0.22,0.0,2022-03-04 11:25:51.899,0
9,220,-0.24,0.11,-0.3,0.0,2022-03-04 11:25:51.997,0
10,242,-0.21,0.11,-0.23,0.0,2022-03-04 11:25:52.097,0
11,262,-0.19,0.05,-0.29,0.0,2022-03-04 11:25:52.196,0
12,282,-0.15,0.13,-0.21,0.0,2022-03-04 11:25:52.296,0
13,302,-0.27,0.08,-0.3,0.0,2022-03-04 11:25:52.395,0
14,322,-0.78,0.18,-0.43,0.0,2022-03-04 11:25:52.494,0
15,342,-0.22,-0.1,-0.31,0.0,2022-03-04 11:25:52.593,0
16,362,-0.23,-0.15,-0.33,0.0,2022-03-04 11:25:52.693,0
17,386,-0.28,-0.1,-0.29,0.0,2022-03-04 11:25:52.792,0
18,406,-0.37,0.14,-0.23,0.0,2022-03-04 11:25:52.891,0
19,426,0.34,0.24,-0.76,0.0,2022-03-04 11:25:52.992,0
20,448,-0.27,-0.17,-0.29,0.0,2022-03-04 11:25:53.091,0
21,468,-0.23,0.08,-0.16,0.0,2022-03-04 11:25:53.189,0
22,490,-0.19,0.12,-0.35,0.0,2022-03-04 11:25:53.298,0
23,510,-0.31,0.14,-0.38,0.0,2022-03-04 11:25:53.397,0
24,530,-0.22,0.13,-0.31,0.0,2022-03-04 11:25:53.496,3
25,550,-0.23,-0.07,-0.19,0.0,2022-03-04 11:25:53.596,3
26,570,-0.29,0.48,0.45,0.0,2022-03-04 11:25:53.695,3
27,594,-0.69,1.53,-0.59,0.0,2022-03-04 11:25:53.795,3
28,614,-0.91,2.18,0.92,0.0,2022-03-04 11:25:53.893,3
29,634,-0.8,2.75,-1.6,0.0,2022-03-04 11:25:53.993,3
30,656,-0.64,2.95,1.34,0.0,2022-03-04 11:25:54.092,3
31,676,-1.32,3.28,-1.39,0.0,2022-03-04 11:25:54.191,3
32,696,-1.08,3.89,1.51,0.0,2022-03-04 11:25:54.291,3
33,716,-1.42,3.77,2.74,0.0,2022-03-04 11:25:54.392,3
34,736,-1.28,4.4,-2.65,0.0,2022-03-04 11:25:54.490,3
35,758,-2.6,4.65,-2.9,0.0,2022-03-04 11:25:54.598,3
36,778,-2.27,2.86,-2.28,0.0,2022-03-04 11:25:54.698,3
37,802,-0.52,2.17,0.81,7.9,2022-03-04 11:25:54.797,3
38,822,-0.99,2.89,-1.05,7.9,2022-03-04 11:25:54.896,3
39,842,-0.74,3.05,1.8,7.9,2022-03-04 11:25:54.996,3
40,864,-0.95,2.26,1.46,7.9,2022-03-04 11:25:55.094,3
41,884,-1.09,2.72,-0.84,7.9,2022-03-04 11:25:55.194,3
42,904,-1.06,2.83,-1.14,7.9,2022-03-04 11:25:55.293,3
43,924,-1.31,3.44,1.56,7.9,2022-03-04 11:25:55.392,3
44,944,-1.05,3.33,-2.1,7.9,2022-03-04 11:25:55.492,3
45,964,-1.65,3.61,2.65,7.9,2022-03-04 11:25:55.591,3
46,984,-1.51,4.21,2.08,7.9,2022-03-04 11:25:55.690,3
47,1010,-1.47,4.09,-2.25,14.4,2022-03-04 11:25:55.799,3
48,1030,-2.17,4.7,1.3,14.4,2022-03-04 11:25:55.899,3
49,1050,-1.96,3.54,-1.1,14.4,2022-03-04 11:25:55.999,3
50,1072,-1.41,3.03,-1.06,14.4,2022-03-04 11:25:56.098,3
51,1092,-1.79,2.9,-2.26,14.4,2022-03-04 11:25:56.196,3
52,1112,-2.51,4.26,-2.5,14.4,2022-03-04 11:25:56.297,3
53,1132,-2.66,3.41,-1.97,14.4,2022-03-04 11:25:56.395,3
54,1152,-1.97,2.93,-1.32,14.4,2022-03-04 11:25:56.494,3
55,1172,-1.0,1.98,0.61,14.4,2022-03-04 11:25:56.593,3
56,1192,-1.1,3.38,-1.74,14.4,2022-03-04 11:25:56.694,3
57,1216,-1.46,3.52,1.99,21.2,2022-03-04 11:25:56.792,3
58,1236,-1.33,2.62,-2.58,21.2,2022-03-04 11:25:56.892,3
59,1256,-1.23,2.0,-1.27,21.2,2022-03-04 11:25:56.990,3
60,1278,-1.93,1.81,-0.93,21.2,2022-03-04 11:25:57.090,3
61,1298,-1.48,1.0,-0.98,21.2,2022-03-04 11:25:57.189,3
62,1320,0.69,-1.02,0.63,21.2,2022-03-04 11:25:57.298,3
63,1340,-0.25,-1.2,1.09,21.2,2022-03-04 11:25:57.397,3
64,1360,0.77,-0.81,-1.24,21.2,2022-03-04 11:25:57.497,3
65,1380,-1.02,-0.95,-1.07,21.2,2022-03-04 11:25:57.598,3
66,1400,0.78,-0.47,0.83,21.2,2022-03-04 11:25:57.698,3
67,1424,0.93,-1.33,1.21,29.5,2022-03-04 11:25:57.794,3
68,1444,-1.07,-0.87,-1.78,29.5,2022-03-04 11:25:57.894,3
69,1464,-1.04,-0.77,-1.97,29.5,2022-03-04 11:25:57.993,3
