,LineNumber,Accel_X,Accel_Y,Accel_Z,Velocity,RealTime,Label
0,30,-0.23,0.14,-0.29,0.0,2022-03-04 11:18:29.691,0
1,54,-0.25,0.19,-0.23,0.0,2022-03-04 11:18:29.790,0
2,74,-0.25,0.2,-0.23,0.0,2022-03-04 11:18:29.889,0
3,94,-0.25,0.14,-0.2,0.0,2022-03-04 11:18:29.989,0
4,118,-0.25,0.17,-0.3,0.0,2022-03-04 11:18:30.097,0
5,138,-0.24,0.13,-0.25,0.0,2022-03-04 11:18:30.198,0
6,158,-0.25,0.18,-0.19,0.0,2022-03-04 11:18:30.297,0
7,178,0.19,0.12,-0.33,0.0,2022-03-04 11:18:30.396,0
8,198,-0.23,0.17,-0.2,0.0,2022-03-04 11:18:30.494,0
9,218,-0.29,0.2,-0.22,0.0,2022-03-04 11:18:30.594,0
10,238,-0.25,0.12,-0.24,0.0,2022-03-04 11:18:30.694,0
11,262,-0.25,0.13,-0.27,0.0,2022-03-04 11:18:30.792,0
12,282,-0.22,0.13,-0.23,0.0,2022-03-04 11:18:30.891,0
13,302,-0.25,0.14,-0.21,0.0,2022-03-04 11:18:30.991,0
14,324,-0.25,0.17,-0.27,0.0,2022-03-04 11:18:31.090,0
15,344,-0.25,0.13,-0.19,0.0,2022-03-04 11:18:31.189,0
16,364,-0.22,0.11,-0.28,0.0,2022-03-04 11:18:31.290,0
17,386,-0.24,0.14,-0.2,0.0,2022-03-04 11:18:31.399,0
18,406,-0.3,0.18,-0.23,0.0,2022-03-04 11:18:31.499,0
19,424,-0.25,0.09,-0.2,0.0,2022-03-04 11:18:31.587,0
20,444,-0.26,0.15,-0.27,0.0,2022-03-04 11:18:31.686,0
21,470,-0.22,0.11,-0.24,0.0,2022-03-04 11:18:31.795,0
22,490,-0.28,0.15,-0.2,0.0,2022-03-04 11:18:31.894,0
23,510,-0.25,0.18,-0.25,0.0,2022-03-04 11:18:31.995,0
24,532,-0.25,0.12,-0.25,0.0,2022-03-04 11:18:32.093,0
25,552,-0.24,0.14,-0.23,0.0,2022-03-04 11:18:32.192,0
26,572,-0.22,0.1,-0.25,0.0,2022-03-04 11:18:32.291,0
27,592,-0.28,0.13,-0.2,0.0,2022-03-04 11:18:32.391,0
28,612,-0.25,0.17,-0.21,0.0,2022-03-04 11:18:32.490,0
29,632,-0.25,0.09,-0.27,0.0,2022-03-04 11:18:32.590,0
30,652,-0.25,0.09,-0.27,0.0,2022-03-04 11:18:32.689,0
31,678,-0.28,0.12,-0.21,0.0,2022-03-04 11:18:32.798,0
32,698,-0.23,0.14,-0.25,0.0,2022-03-04 11:18:32.898,0
33,718,-0.26,0.12,-0.22,0.0,2022-03-04 11:18:32.998,0
34,740,-0.26,0.08,-0.23,0.0,2022-03-04 11:18:33.097,0
35,760,-0.25,0.08,-0.22,0.0,2022-03-04 11:18:33.198,0
36,780,-0.24,0.14,-0.21,0.0,2022-03-04 11:18:33.295,0
37,800,-0.26,0.14,-0.23,0.0,2022-03-04 11:18:33.393,0
38,820,-0.27,0.1,-0.22,0.0,2022-03-04 11:18:33.492,0
39,840,-0.22,0.1,-0.29,0.0,2022-03-04 11:18:33.591,0
40,860,-0.24,0.09,-0.19,0.0,2022-03-04 11:18:33.691,0
41,884,-0.28,0.14,-0.22,0.0,2022-03-04 11:18:33.790,0
42,904,-0.27,0.11,-0.19,0.0,2022-03-04 11:18:33.889,0
43,924,-0.18,0.14,-0.28,0.0,2022-03-04 11:18:33.990,0
44,948,-0.25,0.11,-0.17,0.0,2022-03-04 11:18:34.098,0
45,968,-0.25,0.13,-0.26,0.0,2022-03-04 11:18:34.198,0
46,988,-0.2,0.1,-0.28,0.0,2022-03-04 11:18:34.297,0
47,1008,-0.27,0.14,-0.18,0.0,2022-03-04 11:18:34.396,0
48,1028,-0.2,0.1,-0.25,0.0,2022-03-04 11:18:34.497,0
49,1048,-0.25,0.08,-0.23,0.0,2022-03-04 11:18:34.596,0
50,1068,-0.24,0.12,-0.27,0.0,2022-03-04 11:18:34.694,0
