,LineNumber,Accel_X,Accel_Y,Accel_Z,Velocity,RealTime,Label
0,32,0.18,-0.25,-0.26,0.0,2022-03-04 10:27:29.993,0
1,52,0.3,-0.23,-0.26,0.0,2022-03-04 10:27:30.093,0
2,76,-0.14,-0.25,-0.25,0.0,2022-03-04 10:27:30.191,0
3,96,-0.15,-0.23,-0.21,0.0,2022-03-04 10:27:30.290,0
4,118,0.16,-0.24,-0.24,0.0,2022-03-04 10:27:30.399,0
5,138,-0.15,-0.23,-0.2,0.0,2022-03-04 10:27:30.499,0
6,160,0.12,-0.22,-0.22,0.0,2022-03-04 10:27:30.599,0
7,180,0.19,-0.22,-0.32,0.0,2022-03-04 10:27:30.697,0
8,200,0.14,-0.23,-0.19,0.0,2022-03-04 10:27:30.796,0
9,220,-0.14,-0.24,-0.26,0.0,2022-03-04 10:27:30.896,0
10,240,-0.16,-0.24,-0.23,0.0,2022-03-04 10:27:30.995,0
11,260,0.12,-0.21,-0.18,0.0,2022-03-04 10:27:31.094,0
12,284,-0.15,-0.21,-0.21,0.0,2022-03-04 10:27:31.194,0
13,304,-0.12,-0.27,-0.18,0.0,2022-03-04 10:27:31.293,0
14,324,0.14,-0.21,-0.29,0.0,2022-03-04 10:27:31.392,0
15,344,0.11,-0.21,-0.17,0.0,2022-03-04 10:27:31.492,0
16,366,0.19,-0.24,-0.2,0.0,2022-03-04 10:27:31.591,0
17,386,0.11,-0.21,-0.28,0.0,2022-03-04 10:27:31.691,0
18,408,-0.16,-0.22,-0.23,0.0,2022-03-04 10:27:31.799,0
19,428,0.12,-0.21,-0.25,0.0,2022-03-04 10:27:31.899,0
20,448,-0.2,-0.2,-0.27,0.0,2022-03-04 10:27:31.997,0
21,468,0.18,-0.2,-0.23,0.0,2022-03-04 10:27:32.099,0
22,492,-0.13,-0.2,-0.26,0.0,2022-03-04 10:27:32.196,0
23,512,-0.21,-0.21,-0.2,0.0,2022-03-04 10:27:32.295,0
24,532,-0.17,-0.22,-0.29,0.0,2022-03-04 10:27:32.395,0
25,552,-0.22,-0.2,0.49,0.0,2022-03-04 10:27:32.494,0
26,574,-0.17,-0.2,-0.4,0.0,2022-03-04 10:27:32.593,0
27,594,-0.22,-0.13,-0.31,0.0,2022-03-04 10:27:32.692,0
28,614,-0.22,-0.2,-0.24,0.0,2022-03-04 10:27:32.791,0
29,634,0.19,-0.18,-0.25,0.0,2022-03-04 10:27:32.891,0
30,654,0.2,-0.2,-0.26,0.0,2022-03-04 10:27:32.990,1
31,674,-0.24,-0.24,-0.41,0.0,2022-03-04 10:27:33.089,1
32,700,-0.27,-0.27,-0.34,0.0,2022-03-04 10:27:33.199,1
33,720,-0.39,0.43,-0.37,0.0,2022-03-04 10:27:33.299,1
34,740,0.32,0.46,-0.29,0.0,2022-03-04 10:27:33.397,1
35,760,-0.39,0.44,-0.34,0.0,2022-03-04 10:27:33.496,1
36,782,-0.36,0.69,-0.21,0.0,2022-03-04 10:27:33.595,1
37,802,-0.47,1.18,-0.41,0.0,2022-03-04 10:27:33.696,1
38,822,-0.48,1.4,-0.39,0.0,2022-03-04 10:27:33.795,1
39,842,-0.48,1.39,-0.71,0.0,2022-03-04 10:27:33.893,1
40,862,-0.51,1.51,-0.57,0.0,2022-03-04 10:27:33.993,1
41,882,-0.59,1.55,-0.7,0.0,2022-03-04 10:27:34.092,1
42,906,-0.67,1.55,-0.55,0.0,2022-03-04 10:27:34.192,1
43,926,-0.79,1.59,0.41,0.0,2022-03-04 10:27:34.291,1
44,946,-0.7,1.57,-0.68,0.0,2022-03-04 10:27:34.390,1
45,968,-0.59,1.57,-0.52,0.0,2022-03-04 10:27:34.499,1
46,990,-0.84,1.64,0.51,0.0,2022-03-04 10:27:34.599,1
47,1010,-0.67,1.7,-0.45,0.0,2022-03-04 10:27:34.697,1
48,1030,-0.67,1.73,0.49,0.0,2022-03-04 10:27:34.796,1
49,1050,-0.85,1.85,-0.45,0.0,2022-03-04 10:27:34.896,1
50,1070,-0.69,1.84,0.72,0.0,2022-03-04 10:27:34.997,1
51,1090,-0.79,1.74,-0.49,0.0,2022-03-04 10:27:35.094,1
52,1110,-1.05,1.88,0.84,0.0,2022-03-04 10:27:35.194,1
53,1134,-0.94,1.88,-0.82,7.9,2022-03-04 10:27:35.293,1
54,1154,-0.96,1.82,0.72,7.9,2022-03-04 10:27:35.393,1
55,1174,-0.74,1.86,-0.88,7.9,2022-03-04 10:27:35.492,1
56,1196,-0.53,1.84,-0.99,7.9,2022-03-04 10:27:35.591,1
57,1216,-0.8,2.01,-0.44,7.9,2022-03-04 10:27:35.690,1
58,1238,-0.9,1.91,0.67,7.9,2022-03-04 10:27:35.799,1
59,1256,-0.65,0.4,-0.79,7.9,2022-03-04 10:27:35.889,1
60,1278,-0.37,-0.28,-0.51,7.9,2022-03-04 10:27:35.998,1
61,1298,-0.4,1.21,0.4,7.9,2022-03-04 10:27:36.097,1
