,LineNumber,Accel_X,Accel_Y,Accel_Z,Velocity,RealTime,Label
0,30,-0.29,0.36,-0.26,0.0,2022-03-04 10:29:40.098,0
1,50,-0.26,0.41,-0.29,0.0,2022-03-04 10:29:40.194,0
2,74,-0.25,0.36,-0.26,0.0,2022-03-04 10:29:40.295,0
3,94,-0.26,0.34,-0.22,0.0,2022-03-04 10:29:40.394,0
4,114,-0.31,0.34,-0.24,0.0,2022-03-04 10:29:40.494,0
5,136,-0.31,0.34,-0.26,0.0,2022-03-04 10:29:40.593,0
6,156,-0.28,0.29,-0.33,0.0,2022-03-04 10:29:40.692,0
7,176,-0.3,0.33,-0.21,0.0,2022-03-04 10:29:40.792,0
8,196,-0.24,0.33,-0.27,0.0,2022-03-04 10:29:40.891,0
9,216,-0.3,0.31,-0.27,0.0,2022-03-04 10:29:40.990,0
10,236,-0.27,0.28,-0.29,0.0,2022-03-04 10:29:41.092,0
11,258,-0.3,0.29,-0.23,0.0,2022-03-04 10:29:41.199,0
12,282,-0.19,0.31,-0.23,0.0,2022-03-04 10:29:41.299,0
13,302,-0.3,0.25,-0.3,0.0,2022-03-04 10:29:41.398,0
14,322,-0.23,0.26,-0.32,0.0,2022-03-04 10:29:41.496,0
15,344,-0.29,0.27,-0.21,0.0,2022-03-04 10:29:41.596,0
16,364,-0.24,0.27,-0.24,0.0,2022-03-04 10:29:41.695,0
17,384,-0.29,0.24,-0.32,0.0,2022-03-04 10:29:41.797,0
18,404,-0.21,0.26,-0.24,0.0,2022-03-04 10:29:41.894,0
19,424,-0.29,0.26,-0.32,0.0,2022-03-04 10:29:41.992,0
20,444,-0.28,0.26,-0.23,0.0,2022-03-04 10:29:42.092,0
21,464,-0.25,0.2,-0.31,0.0,2022-03-04 10:29:42.191,0
22,488,-0.23,0.25,-0.33,0.0,2022-03-04 10:29:42.291,0
23,508,-0.24,0.31,-0.22,0.0,2022-03-04 10:29:42.389,0
24,528,-0.21,0.19,-0.38,0.0,2022-03-04 10:29:42.489,0
25,550,-0.23,0.26,-0.32,0.0,2022-03-04 10:29:42.588,0
26,572,-0.21,0.25,-0.19,0.0,2022-03-04 10:29:42.699,0
27,592,-0.25,0.19,-0.32,0.0,2022-03-04 10:29:42.798,0
28,612,-0.24,0.3,-0.25,0.0,2022-03-04 10:29:42.896,0
