,LineNumber,Accel_X,Accel_Y,Accel_Z,Velocity,RealTime,Label
0,10,0.08,0.04,-0.22,0.0,2022-03-04 10:33:13.499,0
1,34,0.46,0.11,-0.36,0.0,2022-03-04 10:33:13.592,0
2,54,0.18,0.1,-0.4,0.0,2022-03-04 10:33:13.698,0
3,74,-0.16,0.08,-0.22,0.0,2022-03-04 10:33:13.791,0
4,94,0.17,0.07,-0.33,0.0,2022-03-04 10:33:13.892,0
5,114,-0.18,0.07,-0.26,0.0,2022-03-04 10:33:13.990,0
6,136,-0.18,0.11,-0.26,0.0,2022-03-04 10:33:14.099,0
7,160,-0.15,0.08,-0.26,0.0,2022-03-04 10:33:14.197,0
8,180,0.15,0.08,-0.3,0.0,2022-03-04 10:33:14.296,0
9,200,0.16,0.08,-0.24,0.0,2022-03-04 10:33:14.396,0
10,220,-0.18,0.12,-0.23,0.0,2022-03-04 10:33:14.495,0
11,242,-0.2,0.1,-0.24,0.0,2022-03-04 10:33:14.594,0
12,262,0.16,-0.13,-0.32,0.0,2022-03-04 10:33:14.694,0
13,282,-0.14,0.1,-0.24,0.0,2022-03-04 10:33:14.794,0
14,302,0.14,0.08,-0.3,0.0,2022-03-04 10:33:14.892,0
15,322,-0.19,-0.09,-0.24,0.0,2022-03-04 10:33:14.994,0
16,342,0.18,-0.12,-0.3,0.0,2022-03-04 10:33:15.091,0
17,366,0.21,0.13,-0.34,0.0,2022-03-04 10:33:15.190,0
18,386,-0.24,0.15,-0.29,0.0,2022-03-04 10:33:15.290,0
19,408,-0.22,-0.16,-0.35,0.0,2022-03-04 10:33:15.399,0
20,428,0.19,0.11,-0.28,0.0,2022-03-04 10:33:15.498,0
21,450,-0.21,-0.26,-0.47,0.0,2022-03-04 10:33:15.597,0
22,470,-0.19,-0.13,0.44,0.0,2022-03-04 10:33:15.697,0
23,490,-0.19,0.12,-0.33,0.0,2022-03-04 10:33:15.797,0
24,510,0.16,0.07,-0.24,0.0,2022-03-04 10:33:15.895,0
25,530,-0.13,-0.09,-0.31,0.0,2022-03-04 10:33:15.994,0
26,550,0.2,0.13,-0.33,0.0,2022-03-04 10:33:16.094,0
27,574,-0.17,0.14,-0.33,0.0,2022-03-04 10:33:16.193,0
28,594,-0.14,-0.09,-0.19,0.0,2022-03-04 10:33:16.294,0
29,614,-0.17,-0.07,-0.32,0.0,2022-03-04 10:33:16.392,2
30,634,0.16,0.08,-0.38,0.0,2022-03-04 10:33:16.491,2
31,658,-0.57,0.62,-0.5,0.0,2022-03-04 10:33:16.599,2
32,676,-0.42,0.95,-0.49,0.0,2022-03-04 10:33:16.692,2
33,698,-0.61,1.0,0.54,0.0,2022-03-04 10:33:16.798,2
34,718,0.61,1.02,-0.66,0.0,2022-03-04 10:33:16.898,2
35,738,-0.65,1.53,-0.51,0.0,2022-03-04 10:33:16.997,2
36,758,-0.59,2.34,-0.47,0.0,2022-03-04 10:33:17.096,2
37,782,-0.61,2.75,0.93,0.0,2022-03-04 10:33:17.195,2
38,802,-1.01,3.12,-1.26,0.0,2022-03-04 10:33:17.295,2
39,822,-0.72,2.97,-1.42,0.0,2022-03-04 10:33:17.394,2
40,842,-0.78,2.94,-1.68,0.0,2022-03-04 10:33:17.493,2
41,864,-0.59,3.33,-1.29,0.0,2022-03-04 10:33:17.593,2
42,884,-0.59,3.14,-1.97,0.0,2022-03-04 10:33:17.694,2
43,904,-1.24,3.29,1.78,0.0,2022-03-04 10:33:17.792,2
44,924,-0.92,3.2,-2.56,0.0,2022-03-04 10:33:17.891,2
45,946,-1.21,2.97,-2.56,0.0,2022-03-04 10:33:17.999,2
46,966,-0.71,2.58,-2.38,0.0,2022-03-04 10:33:18.099,2
47,990,-0.62,2.44,1.4,10.4,2022-03-04 10:33:18.198,2
48,1010,-0.61,3.09,-0.95,10.4,2022-03-04 10:33:18.298,2
49,1030,-0.79,2.71,-1.58,10.4,2022-03-04 10:33:18.396,2
50,1050,-0.62,1.63,0.7,10.4,2022-03-04 10:33:18.495,2
51,1072,-0.43,1.88,1.18,10.4,2022-03-04 10:33:18.595,2
52,1092,-0.6,2.57,0.96,10.4,2022-03-04 10:33:18.694,2
53,1112,-0.57,2.86,-1.09,10.4,2022-03-04 10:33:18.793,2
54,1132,-0.91,1.7,-1.3,10.4,2022-03-04 10:33:18.894,2
55,1152,-0.48,2.26,-0.89,10.4,2022-03-04 10:33:18.992,2
56,1172,-0.62,2.72,-1.15,10.4,2022-03-04 10:33:19.095,2
57,1194,-0.64,2.46,-1.35,16.9,2022-03-04 10:33:19.194,2
58,1216,-0.52,1.89,-0.98,16.9,2022-03-04 10:33:19.290,2
59,1238,-0.58,2.06,0.42,16.9,2022-03-04 10:33:19.399,2
60,1258,-1.14,2.13,-0.67,16.9,2022-03-04 10:33:19.498,2
61,1280,-1.27,1.83,-1.13,16.9,2022-03-04 10:33:19.598,2
62,1300,-1.17,1.47,0.67,16.9,2022-03-04 10:33:19.696,2
