,LineNumber,Accel_X,Accel_Y,Accel_Z,Velocity,RealTime,Label
0,24,-0.23,0.2,-0.19,0.0,2022-03-04 10:39:56.194,0
1,44,0.19,0.13,-0.25,0.0,2022-03-04 10:39:56.293,0
2,64,-0.23,0.1,-0.35,0.0,2022-03-04 10:39:56.392,0
3,84,-0.33,0.2,-0.22,0.0,2022-03-04 10:39:56.498,0
4,106,0.15,0.08,-0.4,0.0,2022-03-04 10:39:56.591,0
5,126,-0.25,0.29,-0.26,0.0,2022-03-04 10:39:56.690,0
6,148,-0.18,0.06,-0.27,0.0,2022-03-04 10:39:56.799,0
7,168,-0.23,0.16,-0.3,0.0,2022-03-04 10:39:56.899,0
8,188,-0.23,0.19,-0.37,0.0,2022-03-04 10:39:56.998,0
9,206,-0.2,0.12,-0.19,0.0,2022-03-04 10:39:57.088,0
10,232,-0.25,0.24,-0.39,0.0,2022-03-04 10:39:57.196,0
11,252,-0.29,0.16,-0.34,0.0,2022-03-04 10:39:57.296,0
12,272,-0.24,0.09,-0.24,0.0,2022-03-04 10:39:57.395,0
13,292,-0.2,0.24,-0.25,0.0,2022-03-04 10:39:57.494,0
14,314,-0.25,0.2,-0.27,0.0,2022-03-04 10:39:57.593,0
15,334,-0.18,0.09,-0.22,0.0,2022-03-04 10:39:57.694,0
16,354,-0.17,0.19,-0.27,0.0,2022-03-04 10:39:57.792,0
17,374,-0.24,0.21,-0.27,0.0,2022-03-04 10:39:57.891,0
18,394,-0.4,0.24,-0.41,0.0,2022-03-04 10:39:57.990,0
19,414,0.17,0.17,-0.33,0.0,2022-03-04 10:39:58.090,0
20,436,-0.24,0.15,-0.41,0.0,2022-03-04 10:39:58.199,0
21,460,0.18,0.1,-0.37,0.0,2022-03-04 10:39:58.298,0
22,480,-0.25,0.33,-0.5,0.0,2022-03-04 10:39:58.397,0
23,500,0.38,0.11,0.41,0.0,2022-03-04 10:39:58.497,0
24,522,-0.25,0.23,-0.28,0.0,2022-03-04 10:39:58.596,0
25,542,-0.33,0.16,-0.34,0.0,2022-03-04 10:39:58.695,0
26,562,-0.13,0.14,-0.41,0.0,2022-03-04 10:39:58.795,0
27,582,-0.25,0.23,-0.26,0.0,2022-03-04 10:39:58.893,0
28,602,-0.25,0.14,-0.26,0.0,2022-03-04 10:39:58.993,2
29,622,-0.16,0.16,-0.25,0.0,2022-03-04 10:39:59.092,2
30,642,-0.23,0.16,-0.33,0.0,2022-03-04 10:39:59.192,2
31,666,-0.25,0.89,-0.64,0.0,2022-03-04 10:39:59.291,2
32,686,0.7,0.69,-0.85,0.0,2022-03-04 10:39:59.390,2
33,706,-0.52,0.66,-0.62,0.0,2022-03-04 10:39:59.491,2
34,728,-0.58,0.92,-0.31,0.0,2022-03-04 10:39:59.589,2
35,748,-0.44,1.23,-0.56,0.0,2022-03-04 10:39:59.688,2
36,770,-0.38,1.87,-0.66,0.0,2022-03-04 10:39:59.799,2
37,790,-0.53,2.32,-0.43,0.0,2022-03-04 10:39:59.896,2
38,810,-0.76,2.55,-0.68,0.0,2022-03-04 10:39:59.996,2
